EGC_ID,Sample_label,CollectionDate,Water Body,Site_Name,CW_mm,Sex
WACO.2021.589,WACO21-589,9/7/2021,Willapa,Nahcotta,53,Female
WACO.2021.590,WACO21-590,9/7/2021,Willapa,Nahcotta,59,Female
WACO.2021.591,WACO21-591,9/7/2021,Willapa,Nahcotta,69,Male
WACO.2021.592,WACO21-592,9/7/2021,Willapa,Nahcotta,68,Male
WACO.2021.593,WACO21-593,9/7/2021,Willapa,Nahcotta,73,Male
WACO.2021.594,WACO21-594,9/7/2021,Willapa,Nahcotta,78,Male
WACO.2021.595,WACO21-595,9/7/2021,Willapa,Nahcotta,57,Male
WACO.2021.596,WACO21-596,9/7/2021,Willapa,Nahcotta,48,Male
WACO.2021.597,WACO21-597,9/7/2021,Willapa,Nahcotta,52,Female
WACO.2021.598,WACO21-598,9/7/2021,Willapa,Nahcotta,58,Male
WACO.2021.599,WACO21-599,9/7/2021,Willapa,Nahcotta,56,Male
WACO.2021.600,WACO21-600,9/7/2021,Willapa,Oysterville,68,Male
WACO.2021.601,WACO21-601,9/7/2021,Willapa,Oysterville,62,Male
WACO.2021.602,WACO21-602,9/7/2021,Willapa,Oysterville,58,Female
WACO.2021.603,WACO21-603,9/7/2021,Willapa,Oysterville,57,Male
WACO.2021.604,WACO21-604,9/7/2021,Willapa,Oysterville,56,Male
WACO.2021.605,WACO21-605,9/7/2021,Willapa,Oysterville,57,Female
WACO.2021.606,WACO21-606,9/7/2021,Willapa,Oysterville,64,Female
WACO.2021.607,WACO21-607,9/7/2021,Willapa,Oysterville,69,Female
WACO.2021.608,WACO21-608,9/7/2021,Willapa,Oysterville,56,Female
WACO.2021.609,WACO21-609,9/7/2021,Willapa,Oysterville,64,Female
WACO.2021.610,WACO21-610,9/7/2021,Willapa,Oysterville,63,Female
WACO.2021.611,WACO21-611,9/7/2021,Willapa,Oysterville,67,Female
WACO.2021.612,WACO21-612,9/7/2021,Willapa,Oysterville,71,Male
WACO.2021.613,WACO21-613,9/7/2021,Willapa,Oysterville,64,Female
WACO.2021.614,WACO21-614,9/7/2021,Willapa,Oysterville,47,Female
WACO.2021.615,WACO21-615,9/7/2021,Willapa,Oysterville,60,Female
WACO.2021.616,WACO21-616,9/7/2021,Willapa,Oysterville,55,Female
WACO.2021.617,WACO21-617,9/7/2021,Willapa,Oysterville,65,Male
WACO.2021.618,WACO21-618,9/7/2021,Willapa,Oysterville,55,Male
WACO.2021.619,WACO21-619,9/7/2021,Willapa,Oysterville,77,Male
WACO.2021.620,WACO21-620,9/7/2021,Willapa,Oysterville,80,Female
WACO.2021.621,WACO21-621,9/7/2021,Willapa,Oysterville,56,Female
WACO.2021.622,WACO21-622,9/7/2021,Willapa,Oysterville,49,Female
WACO.2021.623,WACO21-623,9/7/2021,Willapa,Nahcotta,65,Male
WACO.2021.624,WACO21-624,9/7/2021,Willapa,Nahcotta,63,Female
WACO.2021.625,WACO21-625,9/7/2021,Willapa,Nahcotta,68,Male
WACO.2021.626,WACO21-626,9/7/2021,Willapa,Nahcotta,52,Male
WACO.2021.627,WACO21-627,9/7/2021,Willapa,Nahcotta,49,Female
WACO.2021.628,WACO21-628,9/7/2021,Willapa,Stackpole,47,Male
WACO.2021.629,WACO21-629,9/7/2021,Willapa,Stackpole,55,Male
WACO.2021.630,WACO21-630,9/7/2021,Willapa,Stackpole,45,Female
WACO.2021.631,WACO21-631,9/7/2021,Willapa,Stackpole,76,Male
WACO.2021.632,WACO21-632,9/7/2021,Willapa,Stackpole,57,Male
WACO.2021.633,WACO21-633,9/7/2021,Willapa,Stackpole,55,Female
WACO.2021.634,WACO21-634,9/7/2021,Willapa,Stackpole,52,Male
WACO.2021.635,WACO21-635,9/7/2021,Willapa,Stackpole,62,Female
WACO.2021.636,WACO21-636,9/7/2021,Willapa,Stackpole,51,Female
WACO.2021.637,WACO21-637,9/7/2021,Willapa,Stackpole,53,Female
WACO.2021.638,WACO21-638,9/7/2021,Willapa,Stackpole,60,Female
WACO.2021.639,WACO21-639,9/7/2021,Willapa,Stackpole,62,Male
WACO.2021.640,WACO21-640,9/7/2021,Willapa,Stackpole,56,Male
WACO.2021.641,WACO21-641,9/7/2021,Willapa,Stackpole,56,Male
WACO.2021.642,WACO21-642,9/7/2021,Willapa,Stackpole,78,Male
WACO.2021.643,WACO21-643,9/7/2021,Willapa,Stackpole,70,Male
WACO.2021.644,WACO21-644,9/7/2021,Willapa,Stackpole,63,Male
WACO.2021.645,WACO21-645,9/7/2021,Willapa,Stackpole,65,Male
WACO.2021.646,WACO21-646,9/7/2021,Willapa,Stackpole,57,Male
WACO.2021.647,WACO21-647,9/7/2021,Willapa,Stackpole,56,Female
WACO.2021.648,WACO21-648,9/7/2021,Willapa,Stackpole,58,Female
WACO.2021.649,WACO21-649,9/7/2021,Willapa,Stackpole,60,Female
WACO.2021.650,WACO21-650,9/7/2021,Willapa,Stackpole,56,Female
WACO.2021.651,WACO21-651,9/7/2021,Willapa,Stackpole,55,Female
